---------------------------------------------------------|
 Planeamiento de expansión de sistemas de transmisión    |
---------------------------------------------------------|

 Tipo de Planeamiento:       Estático 
 Nombre del sistema testado: Sistema_Colombiano_Estatico    

 Tamaño de la población  :           50      
 Tasa de recombinación   :            6      
 Tasa de mutación        :           10 % 
 Alfa                    :            1  
 Factor de diversidad    :            1 % 

---------------------------------------------------------|

 Tempo computacional      :       2.5200 (seg)
 Iteraciones              :          215
 Número de PLs ejecutados :         4606

 Fecha Inicio             : Thu Jul 10 14:24:55 2025
---------------------------------------------------------|

 Mejor configuración encontrada:
---------------------------------------------------------|

 Costo de la propuesta de inversión:       560.0020
 Corte de carga de la propuesta:             0.4208

|-----------------|-----------------|-----------------|--------------------|-------------------|
|       Ramo      |   Barra_Envio   |   Barra_Recibo  | Lineas_Propuestas  |        Costo      |
|-----------------|-----------------|-----------------|--------------------|-------------------|
|        1        |       43        |       88        |       2            |       79.1200     |
|       22        |       15        |       18        |       1            |        7.9270     |
|       47        |       30        |       65        |       1            |       13.6770     |
|       48        |       30        |       72        |       1            |        5.5120     |
|       49        |       55        |       57        |       1            |       46.8080     |
|       51        |       55        |       84        |       1            |       26.6580     |
|       52        |       56        |       57        |       1            |       62.6180     |
|       61        |       55        |       62        |       1            |       70.9880     |
|      104        |       27        |       29        |       1            |        5.0520     |
|      108        |       29        |       64        |       1            |        4.3620     |
|      131        |       50        |       54        |       1            |       12.8720     |
|      132        |       62        |       73        |       1            |       73.1580     |
|      137        |       54        |       56        |       1            |       13.2700     |
|      139        |       72        |       73        |       1            |       13.2700     |
|      140        |       19        |       82        |       2            |       26.5400     |
|      144        |       82        |       85        |       1            |       89.8980     |
|      146        |       68        |       86        |       1            |        8.2720     |
|----------------------------------------------------------------------------------------------|
|                                                               Costo Total:      560.0020     


----------------------------------------------------------------------------------------
Solución Flujo de potencia DC optimo
----------------------------------------------------------------------------------------

Barras
|----------|------------|------------|----------------|----------------|---------------|
|   Barra  |     Vi     |   Angulo   |    Demanda     | Generacion Max | Gi despachado |
|----------|------------|------------|----------------|----------------|---------------|
|        1 |     1.0000 |    -0.2609 |         0.0000 |       240.0000 |      240.0000 |
|        2 |     1.0000 |    -0.3811 |       486.6600 |       165.0000 |      165.0000 |
|        3 |     1.0000 |    -0.4172 |       587.0800 |         0.0000 |        0.0000 |
|        4 |     1.0000 |    -0.4163 |         0.0000 |         0.0000 |        0.0000 |
|        5 |     1.0000 |    -0.4212 |       351.4200 |        40.0000 |       40.0000 |
|        6 |     1.0000 |    -0.4208 |         0.0000 |        34.0000 |       34.0000 |
|        7 |     1.0000 |    -0.4211 |       448.0300 |       136.0000 |      136.0000 |
|        8 |     1.0000 |    -0.3584 |       505.8700 |       230.0000 |      230.0000 |
|        9 |     1.0000 |    -0.3615 |       519.6900 |         0.0000 |        0.0000 |
|       10 |     1.0000 |    -0.4316 |        88.8400 |         0.0000 |        0.0000 |
|       11 |     1.0000 |    -0.2946 |       220.1500 |       108.0000 |      108.0000 |
|       12 |     1.0000 |    -0.2515 |         0.0000 |        47.0000 |       47.0000 |
|       13 |     1.0000 |    -0.2284 |       260.0800 |         0.0000 |        0.0000 |
|       14 |     1.0000 |    -0.2264 |         0.0000 |         0.0000 |        0.0000 |
|       15 |     1.0000 |    -0.2379 |       562.8400 |         0.0000 |        0.0000 |
|       16 |     1.0000 |    -0.2568 |       351.9000 |         0.0000 |        0.0000 |
|       17 |     1.0000 |    -0.2553 |       203.0000 |        35.0000 |       35.0000 |
|       18 |     1.0000 |    -0.1249 |        54.1000 |       540.0000 |      540.0000 |
|       19 |     1.0000 |     0.1198 |        29.2800 |      1340.0000 |     1340.0000 |
|       20 |     1.0000 |    -0.2358 |       302.2700 |        45.0000 |       45.0000 |
|       21 |     1.0000 |    -0.2064 |       277.4400 |         0.0000 |        0.0000 |
|       22 |     1.0000 |    -0.0844 |        79.1700 |       200.0000 |      200.0000 |
|       23 |     1.0000 |    -0.2659 |       302.2700 |         0.0000 |        0.0000 |
|       24 |     1.0000 |    -0.2359 |         0.0000 |       150.0000 |      150.0000 |
|       25 |     1.0000 |    -0.4650 |         0.0000 |        86.0000 |       86.0000 |
|       26 |     1.0000 |    -0.4969 |         0.0000 |        70.0000 |       70.0000 |
|       27 |     1.0000 |    -0.5081 |       396.7100 |         0.0000 |        0.0000 |
|       28 |     1.0000 |    -0.5241 |       486.3900 |        14.0000 |       14.0000 |
|       29 |     1.0000 |    -0.4545 |       505.9600 |       618.0000 |      618.0000 |
|       30 |     1.0000 |    -0.3084 |       199.5500 |         0.0000 |        0.0000 |
|       31 |     1.0000 |    -0.3071 |       391.8800 |       189.0000 |      189.0000 |
|       32 |     1.0000 |    -0.3384 |       188.3300 |         0.0000 |        0.0000 |
|       33 |     1.0000 |    -0.3159 |       247.2400 |         0.0000 |        0.0000 |
|       34 |     1.0000 |    -0.3019 |       115.8100 |         0.0000 |        0.0000 |
|       35 |     1.0000 |    -0.6163 |       256.8600 |       200.0000 |      200.0000 |
|       36 |     1.0000 |    -0.4938 |       167.2900 |        44.0000 |       44.0000 |
|       37 |     1.0000 |     0.3272 |       176.3000 |       138.0000 |      138.0000 |
|       38 |     1.0000 |     0.3803 |       129.7200 |        15.0000 |       15.0000 |
|       39 |     1.0000 |     0.4012 |       268.1900 |        15.0000 |       15.0000 |
|       40 |     1.0000 |     0.4940 |         0.0000 |       305.0000 |      305.0000 |
|       41 |     1.0000 |     0.4948 |        81.8500 |       100.0000 |      100.0000 |
|       42 |     1.0000 |     0.4856 |       152.3900 |         0.0000 |        0.0000 |
|       43 |     1.0000 |     0.5908 |        52.9000 |         0.0000 |        0.0000 |
|       44 |     1.0000 |    -0.6668 |       384.6400 |        23.0000 |       23.0000 |
|       45 |     1.0000 |     0.5149 |         0.0000 |      1208.0000 |     1208.0000 |
|       46 |     1.0000 |     0.3035 |       181.6200 |       150.0000 |      150.0000 |
|       47 |     1.0000 |     0.3089 |        61.6000 |         0.0000 |        0.0000 |
